,O2.UC-11,O2.UC-12,O2.UC-13,O2.UC-14,O2.UC-16,O2.UC-17,O2.UC-18,O2.UC-19,O2.UC-1,O2.UC-20,O2.UC-21,O2.UC-22,O2.UC-23,O2.UC-24,O2.UC-4,V1.CD-11,V1.CD-12,V1.CD-13,V1.CD-14,V1.CD-15,V1.CD-1,V1.CD-2,V1.CD-3,V1.CD-4,V1.CD-6,V1.CD-8,V1.CD-9,V1.UC-10,V1.UC-13,V1.UC-14,V1.UC-15,V1.UC-17,V1.UC-18,V1.UC-19,V1.UC-21,V1.UC-6,V1.UC-7,V1.UC-8,V1.UC-9
O2.UC-11,1,0.838555513589,0.594747761542,0.775326520372,0.817897969128,0.825410666865,0.867337520475,0.696861116076,0.801049633823,0.642457462429,0.857094229793,0.671497661714,0.782935154193,0.715228811243,0.716762060169,0.85236811174,0.908810771727,0.624145749338,0.754319463772,0.550779515162,0.893829487891,0.900912193145,0.729254751019,0.766250736888,0.826550827872,0.781169033038,0.857704303597,0.683604260155,0.842014116579,0.719548983509,0.655494064743,0.860068717653,0.730710772204,0.796161152216,0.558389838249,0.688747256897,0.776810391553,0.640379870162,0.82907503675
O2.UC-12,0.838555513589,1,0.820821750504,0.806529267786,0.786562150493,0.764637271933,0.8564486417,0.736134790148,0.726198202436,0.739962094851,0.969803762795,0.777793631251,0.73555815484,0.7098630485,0.916619197105,0.912138963147,0.88587920739,0.724865213028,0.745378100376,0.741186167192,0.869118493786,0.879621345975,0.889561752602,0.835558680733,0.813382736076,0.815628172056,0.842604190308,0.790243993037,0.797924113319,0.854544077319,0.906288468413,0.905158650582,0.835893001493,0.873610103063,0.759821914374,0.760195018779,0.674210770639,0.745738823602,0.784776432981
O2.UC-13,0.594747761542,0.820821750504,1,0.838945113333,0.881323248653,0.827209042741,0.903426364459,0.7737681825,0.815671160589,0.7099121487,0.929808722995,0.736622912287,0.733277561516,0.839526929264,0.822833410176,0.837311643107,0.863805921001,0.745812355545,0.728233449646,0.60889204434,0.810544183761,0.900259089904,0.768340867367,0.768766795201,0.7506044699,0.781139074044,0.822985549066,0.755409319792,0.837324109235,0.745063248961,0.857227089017,0.876266050522,0.723845201072,0.801748296602,0.705866090501,0.767102881263,0.817094306387,0.739284755531,0.833026101443
O2.UC-14,0.775326520372,0.806529267786,0.838945113333,1,0.736015745627,0.674180466281,0.883023729498,0.817014339136,0.734012937561,0.755448671219,0.946272038471,0.726164267633,0.797905969069,0.711601561968,0.863144376431,0.842765471784,0.791329752175,0.787681749802,0.747507595272,0.666429461201,0.795978865702,0.769706506922,0.840347645739,0.769817520546,0.754602103693,0.811866474024,0.833381305227,0.782663248834,0.847248951297,0.847742101692,0.896694938896,0.856637626007,0.789301972788,0.841694886422,0.695134533177,0.72870293017,0.506689550695,0.775510602454,0.8540015779
O2.UC-16,0.817897969128,0.786562150493,0.881323248653,0.736015745627,1,0.689001919291,0.92310529057,0.870352272144,0.683679321023,0.845911407138,0.926724682673,0.878326021962,0.872367999902,0.68796769601,0.929878946614,0.925037312159,0.945556520454,0.852177096043,0.892196775418,0.893884600006,0.921063248506,0.705433108099,0.908820575997,0.887064484017,0.890157951113,0.904220241078,0.922448614585,0.87784968012,0.912341127047,0.823537241514,0.91207543511,0.791672360943,0.887126496191,0.912116662447,0.798151536019,0.881626886768,0.6732155004,0.886012640991,0.902995007752
O2.UC-17,0.825410666865,0.764637271933,0.827209042741,0.674180466281,0.689001919291,1,0.882702414385,0.815959127573,0.659469162301,0.776378916778,0.951573972709,0.769309767512,0.792675295419,0.636124345458,0.906563880039,0.84973639802,0.838535739763,0.825462968205,0.778790262851,0.625531918524,0.782898557638,0.618591441363,0.841664138737,0.858263138391,0.76077845012,0.829461557005,0.812382402162,0.852797187288,0.830303467219,0.815775809733,0.942512088313,0.860292226939,0.742152391243,0.811943929154,0.703059809349,0.806521432788,0.535847579337,0.799470665084,0.884164252896
O2.UC-18,0.867337520475,0.8564486417,0.903426364459,0.883023729498,0.92310529057,0.882702414385,1,0.858529140461,0.908736152352,0.896719124384,0.914297042071,0.843274228828,0.850838957962,0.904933485717,0.911777474255,0.837517792754,0.807139039249,0.835466217838,0.874924561285,0.873174739179,0.857167660314,0.933271712326,0.902435296156,0.878870452495,0.730112218645,0.734498271024,0.877615571244,0.868720691866,0.658284181663,0.886605862886,0.902298257735,0.850489143921,0.877734741014,0.912142856877,0.85907962993,0.895002722011,0.895900988529,0.757922194337,0.810481980018
O2.UC-19,0.696861116076,0.736134790148,0.7737681825,0.817014339136,0.870352272144,0.815959127573,0.858529140461,1,0.752475095979,0.647437583641,0.950993855538,0.704435974149,0.701199370306,0.786423059945,0.828575420424,0.859736388025,0.798346627746,0.673242794608,0.666438401495,0.558047756547,0.809727606098,0.905281234673,0.821421622309,0.761888651596,0.675609928512,0.792070087956,0.787438930783,0.671833379817,0.68292283933,0.768224716124,0.888022823873,0.880925509419,0.73486094066,0.824813438491,0.697558236775,0.691117784011,0.758127474841,0.693052138253,0.760486924875
O2.UC-1,0.801049633823,0.726198202436,0.815671160589,0.734012937561,0.683679321023,0.659469162301,0.908736152352,0.752475095979,1,0.769996433862,0.965001860465,0.813747320575,0.776975944412,0.6540786442,0.900990827267,0.919419754468,0.870728669913,0.812616968719,0.75560837518,0.790765339109,0.908925775798,0.705281195393,0.875715017799,0.834409587031,0.826784727018,0.874656795875,0.873148652096,0.783498063549,0.838303021623,0.790298962196,0.906797605234,0.868198107602,0.834060281556,0.829184038673,0.732642094307,0.787203271245,0.61746178057,0.764840665641,0.844835062909
O2.UC-20,0.642457462429,0.739962094851,0.7099121487,0.755448671219,0.845911407138,0.776378916778,0.896719124384,0.647437583641,0.769996433862,1,0.894926477501,0.559355244012,0.64202945009,0.761523176224,0.752148749801,0.805587248599,0.791087506925,0.635263602155,0.651392096281,0.618401898119,0.714213932584,0.880792922915,0.74862832324,0.689370279301,0.624545699933,0.710423574399,0.730184072805,0.624814908844,0.717664691729,0.74415518727,0.805097109404,0.830904018843,0.690106559203,0.751372912437,0.614570200381,0.603496903671,0.705663478841,0.670849615411,0.748140056778
O2.UC-21,0.857094229793,0.969803762795,0.929808722995,0.946272038471,0.926724682673,0.951573972709,0.914297042071,0.950993855538,0.965001860465,0.894926477501,1,0.885342393847,0.92065348067,0.96037770555,0.903305328734,0.921108775853,0.945398163253,0.937414823576,0.936644167203,0.913936429579,0.874322154537,0.959465780577,0.901015265236,0.912272098967,0.909332558919,0.942360748235,0.940527637143,0.938832650228,0.936925933473,0.943360161594,0.929904381271,0.910421949677,0.926075673679,0.933770341347,0.922732460665,0.940684102679,0.947904632259,0.924736498273,0.951891100168
O2.UC-22,0.671497661714,0.777793631251,0.736622912287,0.726164267633,0.878326021962,0.769309767512,0.843274228828,0.704435974149,0.813747320575,0.559355244012,0.885342393847,1,0.671580019243,0.843846143339,0.758306905272,0.731059735546,0.726854336357,0.704978669061,0.646548812864,0.595518233983,0.678381759233,0.87773386894,0.705311653782,0.659358050355,0.603827562751,0.723936747724,0.68248622504,0.667161345838,0.686737324357,0.761866007146,0.783637471979,0.833125819845,0.672234133292,0.724697475443,0.623611430294,0.632897322708,0.70147716648,0.645019032894,0.74334384876
O2.UC-23,0.782935154193,0.73555815484,0.733277561516,0.797905969069,0.872367999902,0.792675295419,0.850838957962,0.701199370306,0.776975944412,0.64202945009,0.92065348067,0.671580019243,1,0.812442955195,0.836940310752,0.846451972537,0.879522774233,0.713185617819,0.682251852917,0.521584131135,0.706867929589,0.868694782362,0.771149578077,0.73384257209,0.624326532025,0.7106661382,0.745728971401,0.705821174209,0.627062485772,0.757710654483,0.816865062131,0.713733372768,0.674594543557,0.758270113084,0.64756785806,0.653405472061,0.73099451923,0.683308347284,0.727666137128
O2.UC-24,0.715228811243,0.7098630485,0.839526929264,0.711601561968,0.68796769601,0.636124345458,0.904933485717,0.786423059945,0.6540786442,0.761523176224,0.96037770555,0.843846143339,0.812442955195,1,0.918561314471,0.941971900233,0.924665246999,0.800509685496,0.803666182528,0.773592635072,0.922644841026,0.69378452197,0.888398847672,0.866986642221,0.841138537691,0.867686189226,0.876437268501,0.813817716075,0.867022498904,0.846363596251,0.905350937339,0.897855876606,0.836594442775,0.877248262785,0.703836576156,0.813635017473,0.633903234049,0.796428275187,0.848077126693
O2.UC-4,0.716762060169,0.916619197105,0.822833410176,0.863144376431,0.929878946614,0.906563880039,0.911777474255,0.828575420424,0.900990827267,0.752148749801,0.903305328734,0.758306905272,0.836940310752,0.918561314471,1,0.843304734854,0.808031403536,0.833973707103,0.791741384089,0.800737226287,0.830534849843,0.941194229344,0.841044091865,0.775662411954,0.765925086275,0.849050301608,0.871296593169,0.748773460261,0.89249933619,0.822704444607,0.84623463633,0.874770868808,0.839136112375,0.856745177495,0.779980224813,0.823874500191,0.887869849068,0.82316054479,0.845433972883
V1.CD-11,0.85236811174,0.912138963147,0.837311643107,0.842765471784,0.925037312159,0.84973639802,0.837517792754,0.859736388025,0.919419754468,0.805587248599,0.921108775853,0.731059735546,0.846451972537,0.941971900233,0.843304734854,1,0.735714748122,0.869969917434,0.810860091841,0.609453597895,0.716620571604,0.944731123408,0.856790041013,0.776645223178,0.739599742526,0.824169967457,0.841674431982,0.822414823867,0.901057289865,0.785134729396,0.887910278897,0.891299393462,0.709884088902,0.86984028161,0.819580606086,0.848348205727,0.821216265926,0.816754484186,0.889186886389
V1.CD-12,0.908810771727,0.88587920739,0.863805921001,0.791329752175,0.945556520454,0.838535739763,0.807139039249,0.798346627746,0.870728669913,0.791087506925,0.945398163253,0.726854336357,0.879522774233,0.924665246999,0.808031403536,0.735714748122,1,0.856743592101,0.742950834435,0.711807741069,0.813003843041,0.956564544535,0.785406408984,0.750398276199,0.735136317446,0.879300842457,0.805316596795,0.693416035151,0.829274287336,0.875415580021,0.947712128802,0.914630568787,0.815535046391,0.830527350255,0.783900550152,0.733420893066,0.842967966795,0.81845316863,0.862972766814
V1.CD-13,0.624145749338,0.724865213028,0.745812355545,0.787681749802,0.852177096043,0.825462968205,0.835466217838,0.673242794608,0.812616968719,0.635263602155,0.937414823576,0.704978669061,0.713185617819,0.800509685496,0.833973707103,0.869969917434,0.856743592101,1,0.645248854025,0.581604279491,0.868601851114,0.919537402428,0.823189386734,0.764624524339,0.746632128215,0.735215952637,0.800450986107,0.691948242872,0.764567056778,0.7993730827,0.842482418769,0.901925584672,0.750657878285,0.794856486893,0.654897248709,0.598089373083,0.75794682232,0.66591670731,0.739720906869
